Item #,Description,References,Value,Quantity,P_Value,Manufacturer
1,"Ceramic Capacitor, 0.1uF, 50V, X7R, 0603",C201 C202 C203 C204 C205 C206 C207 C208 C209 C210 C211 C212 C213 C214 C215 C403,CL10B104KB8NNNC,16,0.1uF,Samsung Electro-Mechanics
2,"Ceramic Capacitor, 22uF, 25V, X5R, 0805",C404 C405,GRT21BR61E226ME13L,2,22uF,Murata Electronics North America
3,"Ceramic Capacitor, 2.2uF, 50V, X5R, 1206",C401 C402,UMK316BJ225KD-T,2,2.2uF,Taiyo Yuden
4,"TVS Diode, 34Vm, 43VCL, 36VBR, SOT-23-3",D401,DESD34VS2SO,1,34Vm,
5,"Fuse, 1A, 63VDC, slow blow, 0603",F301 F302 F303 F304 F305 F306 F307 F308,0686F1000-01,8,1A,Bel Fuse Inc
6,"Inductor, 10uH, 1.13A, 0.070R, MSS5131",L401,MSS5131-103ML,1,10uH,Coilcraft
7,"Display, 0.96 OLED, 128x64, DIYMALL, TH",P502,096OLED,1,128x64,DIYMALL
8,"Connector, 5POS, 2mm, JST Sales America Inc., SMD",P501,S5B-PH-SM4-TB(LF)(SN),1,5POS,JST Sales America Inc.
9,"Connector, 9POS, 2mm, JST Sales America Inc., SMD",P301,S9B-PH-SM4-TB(LF)(SN),1,9POS,JST Sales America Inc.
10,,P503,SMD_2POS,1,2POS,CUSTOM
11,"Resistor, 100k, 1%, 1/10W, 0603",R302 R304 R306 R308 R310 R312 R314 R316,CPF0603F100KC1,8,100k,TE Connectivity Passive Product
12,"Resistor, 10k, 0.1%, 1/10W, 0603",R201 R202 R203 R204 R205 R206 R207 R208 R209 R210 R212,ERA-3AEB103V,11,10k,Panasonic Electronic Components
13,"Resistor, 453k, 1%, 1/10W, 0603",R301 R303 R305 R307 R309 R311 R313 R315,RC0603FR-07453KL,8,453k,Yageo
14,"Resistor, 22.1k, 0.5%, 1/16W, 0603",R401 R402,RR0816P-2212-D-34C,2,*88.7k 22.1k,Susumu
15,"Switch, SPST-NO Tactile button, 0.05A @ 32VDC, SMD",SW201 SW202 SW203 SW204,KSC721G,4,SPST-NO,C&K
16,"ADC, 16-BIT, 2V- 5V5, 4 Single Ended / 2 Differential, TSSOP-16",U206 U207,ADS1119IPWR,2,16-BIT,Texas Instruments
17,"MCU, ATMEGA328PB-AU, 1V8-5V, TQFP-32",U205,ATMEGA328PB-AU,1,MCU,Atmega
18,"Logic Gate, Inverting Gate, 2V-6V, SC-70-5",U201 U202 U203 U204,MC74HC1G04DFT1G,4,Inverter Gate,ON Semiconductor
19,"IC, Buck Converter, ADJ 0.6A Peak, 2.1MHz, SOT-23-6",U401,TPS560430YFDBVR,1,TPS560430YFDBVR,Texas Instrument
20,"Crystal, 16MHz, HCMOS/TTL,4_SMD",Y201,CB3-3I-16M0000,1,16MHz,CTS-Frequency Controls
